npoin  nele  nsec npfix  nlod
  392   759     4    16   392
  sec               E              po               A               J              Iy              Iz           theta
  sec           alpha           gamma             gkX             gkY             gkZ
    1   2.5500000e+06   2.0000000e-01   6.0000000e-01   0.0000000e+00   1.8000000e-02   5.0000000e-02   0.0000000e+00
    1   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
    2   2.5500000e+06   2.0000000e-01   2.5000000e+00   6.2300000e-01   1.3020000e+00   2.0800000e-01   0.0000000e+00
    2   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
    3   2.5500000e+06   2.0000000e-01   2.5000000e+00   6.2300000e-01   1.3020000e+00   2.0800000e-01   0.0000000e+00
    3   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
    4   1.0000000e+00   2.0000000e-01   1.0000000e-03   0.0000000e+00   1.0000000e-03   1.0000000e-03   0.0000000e+00
    4   1.0000000e-05   2.4000000e+00   0.0000000e+00   0.0000000e+00  -1.0000000e+00
 node               x               y               z              fx              fy              fz              mx              my              mz          deltaT
   25   1.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   26   1.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   27   1.0000000e+00  -5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   28   1.0000000e+00  -4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   29   1.0000000e+00  -3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   30   1.0000000e+00  -2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   31   1.0000000e+00  -1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   32   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   33   1.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   34   1.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   35   1.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   36   1.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   37   1.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   38   1.0000000e+00   6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   39   1.0000000e+00   7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   40   1.0000000e+00   8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   41   1.0000000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   42   1.0000000e+00   1.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   43   1.0000000e+00   1.1000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   44   1.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   45   2.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   46   2.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   47   2.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   48   2.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   49   2.0000000e+00  -5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   50   2.0000000e+00  -4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   51   2.0000000e+00  -3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   52   2.0000000e+00  -2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   53   2.0000000e+00  -1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   54   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   55   2.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   56   2.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   57   2.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   58   2.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   59   2.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   60   2.0000000e+00   6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   61   2.0000000e+00   7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   62   2.0000000e+00   8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   63   2.0000000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   64   2.0000000e+00   1.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   65   2.0000000e+00   1.1000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   66   2.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   67   3.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   68   3.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   69   3.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   70   3.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   71   3.0000000e+00  -5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   72   3.0000000e+00  -4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   73   3.0000000e+00  -3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   74   3.0000000e+00  -2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   75   3.0000000e+00  -1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   76   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   77   3.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   78   3.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   79   3.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   80   3.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   81   3.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   82   3.0000000e+00   6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   83   3.0000000e+00   7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   84   3.0000000e+00   8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   85   3.0000000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   86   3.0000000e+00   1.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   87   3.0000000e+00   1.1000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   88   3.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   89   4.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   90   4.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   91   4.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   92   4.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   93   4.0000000e+00  -5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   94   4.0000000e+00  -4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   95   4.0000000e+00  -3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   96   4.0000000e+00  -2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   97   4.0000000e+00  -1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   98   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   99   4.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  100   4.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  101   4.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  102   4.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  103   4.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  104   4.0000000e+00   6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  105   4.0000000e+00   7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  106   4.0000000e+00   8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  107   4.0000000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  108   4.0000000e+00   1.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  109   4.0000000e+00   1.1000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  110   4.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  111   5.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  112   5.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  113   5.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  114   5.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  115   5.0000000e+00  -5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  116   5.0000000e+00  -4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  117   5.0000000e+00  -3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.9286000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  118   5.0000000e+00  -2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  119   5.0000000e+00  -1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  120   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.6071000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  121   5.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  122   5.0000000e+00   2.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -1.2857000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  123   5.0000000e+00   3.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  124   5.0000000e+00   4.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  125   5.0000000e+00   5.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  126   5.0000000e+00   6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.1446000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  127   5.0000000e+00   7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  128   5.0000000e+00   8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  129   5.0000000e+00   9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  130   5.0000000e+00   1.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  131   5.0000000e+00   1.1000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  132   5.0000000e+00   1.2000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00  -6.4290000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  133   6.0000000e+00  -9.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  134   6.0000000e+00  -8.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  135   6.0000000e+00  -7.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  136   6.0000000e+00  -6.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00  -2.2500000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
