三次元骨組解析（入力データ１）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
節点数,36 ,,,材料数,1 ,,,,,要素数,63 ,,,,,,,,
5 ,4 ,4 ,,,,,,,,15 ,16 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,8 ,4 ,,,,,,,,17 ,18 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,12 ,4 ,,,,,,,,18 ,19 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,0 ,4 ,,,,,,,,19 ,20 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,4 ,4 ,,,,,,,,21 ,22 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,8 ,4 ,,,,,,,,22 ,23 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,12 ,4 ,,,,,,,,23 ,24 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,0 ,8 ,,,,,,,,14 ,18 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,4 ,8 ,,,,,,,,18 ,22 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,8 ,8 ,,,,,,,,15 ,19 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
0 ,12 ,8 ,,,,,,,,19 ,23 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,0 ,8 ,,,,,,,,16 ,20 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,4 ,8 ,,,,,,,,20 ,24 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,8 ,8 ,,,,,,,,25 ,26 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
5 ,12 ,8 ,,,,,,,,26 ,27 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,0 ,8 ,,,,,,,,27 ,28 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,4 ,8 ,,,,,,,,29 ,30 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,8 ,8 ,,,,,,,,30 ,31 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
11 ,12 ,8 ,,,,,,,,31 ,32 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,33 ,34 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,34 ,35 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,35 ,36 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,26 ,30 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,30 ,34 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,27 ,31 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,31 ,35 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,28 ,32 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,32 ,36 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,2 ,14 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,14 ,26 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,3 ,15 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,15 ,27 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,4 ,16 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,16 ,28 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,6 ,18 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,18 ,30 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,7 ,19 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,19 ,31 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,8 ,20 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,20 ,32 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,10 ,22 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,22 ,34 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,11 ,23 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,23 ,35 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,12 ,24 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
,,,,,,,,,,24 ,36 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,0 
